T,P
0,11.11
4,11.13
8,11.15
12,11.17
16,11.19
20,11.19
24,11.21
28,11.23
32,11.25
36,11.25
40,11.27
44,11.29
48,11.29
52,11.31
56,11.33
60,11.33
64,11.35
68,11.37
72,11.37
76,11.39
80,11.39
84,11.41
88,11.41
92,11.43
96,11.43
100,11.45
104,11.48
108,11.48
112,11.48
116,11.5
120,11.5
124,11.52
128,11.52
132,11.54
136,11.54
140,11.56
144,11.56
148,11.56
152,11.58
156,11.6
160,11.6
164,11.62
168,11.64
172,11.64
176,11.66
180,11.68
184,11.7
188,11.7
192,11.72
196,11.72
200,11.74
204,11.74
208,11.76
212,11.76
216,11.78
220,11.78
224,11.8
228,11.8
232,11.8
236,11.8
240,11.82
244,11.82
248,11.82
252,11.84
256,11.84
260,11.86
264,11.86
268,11.9
272,11.92
276,11.96
280,12.02
284,12.09
288,12.17
292,12.29
296,12.41
300,12.55
304,12.74
308,12.96
312,13.2
316,13.51
320,13.84
324,14.22
328,14.67
332,15.16
336,15.69
340,16.28
344,16.91
348,18.21
352,18.86
356,19.53
360,20.16
364,20.77
368,21.38
372,21.97
376,22.54
380,23.15
384,23.78
388,24.48
392,25.25
396,26.14
400,27.18
404,28.4
408,29.83
412,31.5
416,33.43
420,35.67
424,38.19
428,41.02
432,44.09
436,47.39
440,50.88
444,54.55
448,58.31
452,62.18
456,66.06
460,69.95
464,73.77
468,77.46
472,80.98
476,84.23
480,87.18
484,89.81
488,92.13
492,94.1
496,95.79
500,97.21
504,98.45
508,99.55
512,100.57
516,101.57
520,102.6
524,103.68
528,104.88
532,106.16
536,107.57
540,109.07
544,110.68
548,112.37
552,114.1
556,115.89
560,117.68
564,119.47
568,121.24
572,122.97
576,124.66
580,126.29
584,127.85
588,129.36
592,130.78
596,132.19
600,133.51
604,134.77
608,136.01
612,137.17
616,138.31
620,139.39
624,140.43
628,141.4
632,142.34
636,143.19
640,144.03
644,144.78
648,145.45
652,146.08
656,146.63
660,147.12
664,147.51
668,147.83
672,148.08
676,148.24
680,148.3
684,148.3
688,148.18
692,148
696,147.69
700,147.32
704,146.84
708,146.27
712,145.59
716,144.8
720,143.93
724,142.93
728,141.81
732,140.57
736,139.19
740,137.68
744,135.99
748,134.12
752,132.04
756,129.75
760,127.22
764,124.41
768,121.38
772,118.07
776,114.55
780,110.78
